is_fire,date,lon,lat,confidence,line_number,elevation,land_cover_class,NDVI_5B,EVI_5B,LAI_5B,FPAR_5B,LST_5B,SW_radiation_5B,MOD13Q1_SummaryQA_0_1-5B,MCD15A3H_FparLai_QC_bit0-5B,MCD15A3H_FparLai_QC_3_4-5B,MOD21A1D_QC_0_1-5B,MOD21A1D_QC_4_5-5B,MCD18A1_DSR_Quality_0_1-5B,NDVI_4B,EVI_4B,LAI_4B,FPAR_4B,LST_4B,SW_radiation_4B,MOD13Q1_SummaryQA_0_1-4B,MCD15A3H_FparLai_QC_bit0-4B,MCD15A3H_FparLai_QC_3_4-4B,MOD21A1D_QC_0_1-4B,MOD21A1D_QC_4_5-4B,MCD18A1_DSR_Quality_0_1-4B,NDVI_3B,EVI_3B,LAI_3B,FPAR_3B,LST_3B,SW_radiation_3B,MOD13Q1_SummaryQA_0_1-3B,MCD15A3H_FparLai_QC_bit0-3B,MCD15A3H_FparLai_QC_3_4-3B,MOD21A1D_QC_0_1-3B,MOD21A1D_QC_4_5-3B,MCD18A1_DSR_Quality_0_1-3B,NDVI_2B,EVI_2B,LAI_2B,FPAR_2B,LST_2B,SW_radiation_2B,MOD13Q1_SummaryQA_0_1-2B,MCD15A3H_FparLai_QC_bit0-2B,MCD15A3H_FparLai_QC_3_4-2B,MOD21A1D_QC_0_1-2B,MOD21A1D_QC_4_5-2B,MCD18A1_DSR_Quality_0_1-2B,NDVI_1B,EVI_1B,LAI_1B,FPAR_1B,LST_1B,SW_radiation_1B,MOD13Q1_SummaryQA_0_1-1B,MCD15A3H_FparLai_QC_bit0-1B,MCD15A3H_FparLai_QC_3_4-1B,MOD21A1D_QC_0_1-1B,MOD21A1D_QC_4_5-1B,MCD18A1_DSR_Quality_0_1-1B,NDVI_0B,EVI_0B,LAI_0B,FPAR_0B,LST_0B,SW_radiation_0B,MOD13Q1_SummaryQA_0_1-0B,MCD15A3H_FparLai_QC_bit0-0B,MCD15A3H_FparLai_QC_3_4-0B,MOD21A1D_QC_0_1-0B,MOD21A1D_QC_4_5-0B,MCD18A1_DSR_Quality_0_1-0B
0,11/6/2000,-50.11251812,-22.63305358,,,565.8705571,15,3826.808109,2074.803525,,,300.5177262,437.4337119,0,,,2,3,1,4616.889908,2438.54493,,,307.7618827,750.538739,0,,,0,0,1,5645.322058,3531.84478,,,301.8725058,532.2536586,0,,,0,3,1,5668.212993,3426.460681,,,306.05406,716.6142921,0,,,2,0,1,5578.288627,3986.419584,,,309.6013533,827.0305352,0,,,0,0,1,5883.904747,4183.119817,,,313.2840002,831.4033109,0,,,2,2,1
0,11/6/2000,-48.51351692,-23.13611014,,,696.8531727,9,6836.681868,3282.025609,,,295.624948,553.7451386,0,,,3,3,1,7476.464828,3760.601723,,,304.6748855,669.7442128,0,,,2,2,1,7740.061097,3864.469333,,,300.0940501,478.8632434,0,,,0,2,1,7563.591053,4613.699099,,,302.0349087,601.5174169,0,,,1,1,1,7625.344372,4579.095558,,,305.3020089,800.4070512,0,,,2,1,1,7523.811848,5062.943365,,,308.1218468,809.2719617,0,,,2,2,1
1,11/8/2000,-48.93493759,-22.69686116,77.46632783,629.8932656,688.7730229,9,4171.487161,1965.548629,,,300.1269513,548.9612083,0,,,3,0,1,4148.546022,1978.210713,,,308.4151243,665.8918713,1,,,2,3,1,4160.876037,2072.131074,,,305.4644838,494.9858017,0,,,2,3,1,4144.309078,2398.387138,,,310.0575581,766.421402,0,,,2,2,1,4273.949435,2393.009955,,,313.5142962,787.9147171,0,,,1,1,1,4386.376037,2730.008688,,,317.025803,845.9176574,0,,,1,1,1
1,11/8/2000,-48.97886781,-22.93667998,85,2218,694.250182,15,3284.042657,1612.011612,,,302.2472974,498.6545646,0,,,1,2,1,3702.769334,1825.482345,,,308.6672767,645.7811666,0,,,0,2,1,4233.22798,2280.187693,,,304.2248486,540.2199262,0,,,1,0,1,4140.74058,2359.685678,,,308.0643539,748.0834046,0,,,3,3,1,4177.995102,2558.361561,,,310.8652655,842.9826896,0,,,1,3,1,4507.873617,2718.330383,,,315.8291829,800.0162308,0,,,1,0,1
1,11/8/2000,-47.4499539,-22.09469108,80,2215,669.2070156,21,4022.010584,2109.940131,,,301.7085296,624.3464886,0,,,3,1,1,4512.535819,2417.755785,,,306.4436868,723.725667,0,,,1,0,1,4759.663376,2691.863676,,,302.9401537,511.1480574,0,,,2,2,1,4871.71969,2966.650738,,,307.6727187,722.7401692,0,,,1,2,1,5154.083011,3176.485507,,,312.33066,852.4512382,0,,,0,0,1,5068.699123,3308.18383,,,315.264843,862.6774094,0,,,2,3,1
0,11/8/2000,-50.11251812,-22.63305358,,,565.8705571,15,3826.808109,2074.803525,,,301.246017,397.8849433,0,,,1,0,1,4616.889908,2438.54493,,,307.7618827,686.2486025,0,,,2,2,1,5645.322058,3531.84478,,,301.8725058,527.6013155,0,,,0,3,1,5668.212993,3426.460681,,,306.4414408,762.8285576,0,,,3,3,1,5578.288627,3986.419584,,,309.9238071,830.1753511,0,,,3,3,1,5883.904747,4183.119817,,,313.0519411,840.5039351,0,,,3,3,1
0,11/8/2000,-48.51351692,-23.13611014,,,696.8531727,9,6836.681868,3282.025609,,,296.3628069,529.8987289,0,,,1,2,1,7476.464828,3760.601723,,,304.6748855,611.8723575,0,,,0,1,1,7740.061097,3864.469333,,,300.2928921,466.1463684,0,,,0,2,1,7563.591053,4613.699099,,,302.186289,664.0778909,0,,,1,1,1,7625.344372,4579.095558,,,305.4240955,794.8303101,0,,,2,0,1,7523.811848,5062.943365,,,308.0878584,772.6216649,0,,,0,3,1
0,11/8/2000,-48.46860115,-23.54035202,,,624.7034023,15,3818.053309,1820.789607,,,298.3937681,552.0678395,0,,,1,2,1,4382.129916,1943.385642,,,307.6935017,609.8264412,1,,,0,0,1,4867.105355,2820.883826,,,304.6623307,466.7024352,0,,,0,1,1,5155.663955,3251.833676,,,305.819813,639.3447021,0,,,0,2,1,5632.360054,3453.203127,,,308.4182134,811.3469579,0,,,2,2,1,5545.232137,3897.056276,,,308.0949226,777.9228751,0,,,2,3,1
1,11/9/2000,-48.90512772,-22.59493816,68,2402,627.5335743,20,2599.421959,1179.529621,,,301.3221475,568.8592783,0,,,3,0,1,2602.1906,1365.856319,,,309.4615196,660.5283998,0,,,1,0,1,3036.865482,1694.615245,,,303.3786613,531.2598373,0,,,1,1,1,3388.660506,1991.43128,,,312.6568708,779.6342536,0,,,1,3,1,3834.301975,2373.024408,,,312.2900057,865.6698854,0,,,3,0,1,4461.129575,2961.361135,,,316.7962399,873.4002506,0,,,1,0,1
1,11/9/2000,-48.82028261,-22.43755706,64,2401,564.4329185,20,5224.357447,2650.316933,,,297.7426794,552.6504122,0,,,2,1,1,5462.397331,3135.977018,,,303.5237765,695.1855546,0,,,1,0,1,5651.08561,3015.555126,,,301.0583796,492.171029,0,,,3,2,1,4861.941242,2733.736535,,,306.1154583,797.648679,0,,,0,0,1,4261.037435,2743.7145,,,309.3534149,821.9029102,0,,,3,2,1,5023.805123,3214.630485,,,315.4564253,866.5048387,0,,,1,3,1
